short_question,short_answer,tags,label,answer_length,question_length
if pregnant are abortion tablets safe,i advise you to get her ultrasound done first to confirm her pregnancy there are also chances that she may not be pregnant and this may be due to simple hormonal changes that occur in a womans body at this age only pregnancy test may sometimes give you false positive tests,['abortion tablets' 'pregnancy'],1.0,273,37
do gallstones pass through bowels,hi if you have just done a gallbladder flush if you wanted to see them you need to use a sieve when you go and if like me you really did go to be honest i was not that worried but it worked for me good luck,['gallstone'],1.0,206,33
can you help me read my mri arthrogram,cardiovascular,['read my mri arthrogram'],-1.0,14,38
are these spots next to my labia normal,early signs of infection apply local creams take anti histaminic and anti fungal tablets,['are these spots next to my labia normal?'],1.0,88,39
my hand went numb today,it is probably a ganglion cyst causing pressure over the nerve it is treated with excision surgery you need to see an orthopedic surgeon thanks,['hand paralysis'],1.0,143,23
what is heart failure,heart failure congestive heart failure chf is a condition where the heart muscle weakens and cannot pump blood efficiently causing the body to retain salt and fluids fluid accumulates in the lungs hands ankles or other parts of the body,['congestive heart failure'],1.0,236,21
what can i do to stay satiated longer,the most important thing you can do to stay fuller longer is to include a good source of protein in all your snacks and meals,[''],1.0,125,37
caught malaria in africa,hi i dont see any relation of malaria nd a false positive hiv test sexual intercourse is not the only way to acquire hiv it can happen through needle pricks injections as well thanks,['malaria'],1.0,182,24
can stress bring on a outbreak of hives,well according to the stage we can anticipate the life expectancy but i believe he does not have much time am sorry to say that… try go improve his quality of life by providing him with the proper palliative ttt,['stress' 'hives'],-1.0,211,39
what are the signs of oral cancer,i see your symptoms are more related to posterior structures in the head do you have neck pain or any cervical problem before the surgery have your neck been a painful position in any of the hospital is admission procedures thanks,['oral cancer'],-1.0,230,33
what could cause severe groin pain,in my opinion the possibilities are more related to musculoskeletal disorder osteoporotic changes or osteopenia have you checked your hip bone density level do you have enlarged lymph nodes thanks,['groin pain'],1.0,196,34
is it ok to exercise if i am sick,hi with your problems seems to me it would be best if you can get in swimming its low impact on your joints and this would be really go for you so just get in swimming and do enjoy it good luck,['exercise'],-1.0,193,33
how can valium help with vertigo,hi i found this link which may help on one or two questions <link> now as for the cyst increase you have not said were they are but if your really worried about your problems you could think about having it removed do hope this helps good luck,[''],-1.0,243,32
i need a ct scan how urgent is it,hi this depends on the severity of symptoms and the pathological derangements better to get it done right away so that the treatment can be started as early as possible future complications can be avoided if u do it early thanks,[''],1.0,228,33
i have left side pain and urinate blood,in my opinion the cause is kidney stones you need to see a urologistgood luck,['i urinate blood'],1.0,77,39
i chipped a bone on the end of my elbow,hi yes this needs medical attention you should get an xray done and get a fracture ruled out consult a orthopedist thanks,['hard bit of bone floating at the tip of my elbow'],1.0,121,39
will penicilen cure an uti,no connection whatsoever,['penicillin'],-1.0,24,26
what causes paraphimosis,are you sure you are not pregnant in my thoughts it either pregnancy or breast cancer,['paraphimosis'],-1.0,85,24
white discharge from my vagina,hi it may be due to some amount of urinary tract infection that has occured secondary to vaginal infection for vaginal infection i would suggest you to use vaginal anti fungal pessary to be inserted locally also take anti fungal tablets for 3 days maintain good vaginal hygiene thanks,['vaginal discharge'],1.0,284,30
are bananas bad for the heart,hi if you have not been through the menopause yet well get to your doctor get a blood test done for your hormones and that will tell all its two very good signs of it coming hope this helps you good luck,['heart'],-1.0,203,29
how many days a week should i exercise,hi chronic allergic sinusitis is the most likely cause get a ct pns done to rule out any other causes deep breathing exercises can help does not seem to be related to eyes thanks,['exercise'],-1.0,178,38
getting joint pains after the pregnancy,hi this happens due to severe hormonal changes after delivery or gross calcium and vitamin deficiency such joint pains are usually temporary and will gradually subside taking analgesics hot fomentation with calcium  vitamin d3 tablets will help family history of arthritis needs to be ruled out thanks,['joint pains after the pregnancy'],1.0,301,39
what is a status migrainosus migraine,status migrainosus is a rare and severe type of migraine that can last 72 hours or longer the pain and nausea are so intense that people who have this type of headache must be hospitalized certain medications can cause this type of migraine syndrome,['migraine'],1.0,249,37
